,HEADCOUNT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188
0,,Total,1154679.0,1160629.0,1164502.0,1162911.0,1166193.0,1167028.0,1168750.0,1166251.0,1164236.0,1163676.0,1161598.0,1163422.0,1164638.0,1166203.0,1166199.0,1161776.0,1161866.0,1161051.0,1158920.0,1150291.0,1147478.0,1145036.0,1141431.0,1140728.0,1141323.0,1142268.0,1140700.0,1137069.0,1139176.0,1129528.0,1128140.0,1126797.0,1118085.0,1115605.0,1119486.0,1115542.0,1117038.0,1120204.0,1121612.0,1119453.0,1123204.0,1124652.0,1123529.0,1103934.0,1101661.0,1101605.0,1104212.0,1104012.0,1111101.0,1114017.0,1117650.0,1117143.0,1123165.0,1124857.0,1126947.0,1126073.0,1123630.0,1123725.0,1123334.0,1123331.0,1131680.0,1134435.0,1136759.0,1135421.0,1139285.0,1140901.0,1143102.0,1141920.0,1139466.0,1141390.0,1142585.0,1142147.0,1151138.0,1156066.0,1160672.0,1156662.0,1161884.0,1164546.0,1164471.0,1163873.0,1165524.0,1164996.0,1166222.0,1169416.0,1175668.0,1181396.0,1183493.0,1177369.0,1184881.0,1185776.0,1187125.0,1186420.0,1186298.0,1185599.0,1187298.0,1186521.0,1193107.0,1200538.0,1202806.0,1198238.0,1205949.0,1205814.0,1205246.0,1205954.0,1204035.0,1203610.0,1207586.0,1209678.0,1216719.0,1226573.0,1229618.0,1226362.0,1233963.0,1236537.0,1238061.0,1241326.0,1239631.0,1240879.0,1245087.0,1245567.0,1256637.0,1264403.0,1269277.0,1268258.0,1275883.0,1280023.0,1287028.0,1298642.0,1307191.0,1316434.0,1317107.0,1308175.0,1309770.0,1312538.0,1320014.0,1319010.0,1327892.0,1339407.0,1348499.0,1346439.0,1344679.0,1346377.0,1346198.0,1348961.0,1355780.0,1359015.0,1366205.0,1362335.0,1370991.0,1374405.0,1377387.0,1373046.0,1376190.0,1376809.0,1377248.0,1381401.0,1391820.0,1403227.0,1410430.0,1409447.0,1423049.0,1429618.0,1434841.0,1436046.0,1442229.0,1445547.0,1450465.0,1455145.0,1467131.0,1480880.0,1488403.0,1488207.0,1499368.0,1504114.0,1506043.0,1507756.0,1507934.0,1507325.0,1509541.0,1511723.0,1523420.0,1529482.0,1533680.0,4198.0,0.0027447201078535086,45277.0,0.03041985268774653
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Professionally qualified clinical staff,595538.0,599742.0,601132.0,599975.0,600694.0,601399.0,601978.0,600554.0,599842.0,599392.0,598756.0,601301.0,603108.0,606002.0,606821.0,605221.0,606003.0,606317.0,605924.0,603463.0,602123.0,600997.0,600444.0,601377.0,602792.0,604835.0,604262.0,602982.0,604110.0,599479.0,599196.0,599382.0,593934.0,592506.0,596268.0,593281.0,594749.0,598466.0,599058.0,597815.0,599065.0,599735.0,599504.0,598502.0,596864.0,596206.0,597879.0,598273.0,601645.0,605711.0,607701.0,606686.0,608926.0,609305.0,609692.0,608188.0,606411.0,605023.0,605521.0,606203.0,609995.0,613710.0,614913.0,613614.0,614527.0,614728.0,615328.0,614407.0,612286.0,611942.0,612783.0,612691.0,616766.0,621817.0,623574.0,621065.0,622366.0,623314.0,622717.0,622277.0,621187.0,620012.0,620699.0,623091.0,626821.0,632049.0,632780.0,629084.0,631623.0,631952.0,632136.0,631149.0,629884.0,628490.0,629355.0,630787.0,635751.0,641915.0,642415.0,639620.0,642028.0,641492.0,640997.0,640503.0,639100.0,638055.0,640047.0,641546.0,646246.0,653947.0,654514.0,652040.0,654114.0,654911.0,655313.0,649845.0,648274.0,647844.0,649519.0,651490.0,658253.0,664743.0,667332.0,666494.0,669048.0,670788.0,674163.0,676465.0,677895.0,678913.0,678533.0,680437.0,686908.0,690436.0,693610.0,692466.0,695189.0,697342.0,700140.0,698750.0,698144.0,697769.0,698409.0,701238.0,707032.0,711493.0,714868.0,713645.0,716663.0,718244.0,719291.0,715891.0,716258.0,715374.0,714855.0,718230.0,724852.0,732401.0,735895.0,735209.0,739989.0,742903.0,745060.0,744805.0,746131.0,747159.0,748995.0,753694.0,762342.0,772164.0,776424.0,777177.0,781857.0,784637.0,786842.0,788338.0,789073.0,789214.0,790839.0,795363.0,804794.0,811296.0,814805.0,3509.0,0.004325178479864316,38381.0,0.04943304174008016
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,HCHS doctors,102172.0,102400.0,102616.0,102501.0,102324.0,102537.0,102422.0,101203.0,101642.0,101445.0,101808.0,104137.0,103865.0,103928.0,104189.0,103857.0,103937.0,103981.0,103898.0,103490.0,103216.0,103018.0,103759.0,105619.0,105207.0,105564.0,105435.0,105220.0,105355.0,105373.0,105019.0,104901.0,104402.0,104147.0,108293.0,106689.0,106150.0,106521.0,106488.0,106422.0,106385.0,106451.0,106151.0,105435.0,104942.0,104555.0,106201.0,107948.0,107639.0,108063.0,107970.0,107929.0,108069.0,108068.0,107896.0,107426.0,107075.0,106867.0,108622.0,109963.0,109944.0,110140.0,110062.0,110063.0,110038.0,109886.0,109890.0,109838.0,109508.0,109279.0,111170.0,111616.0,111127.0,111399.0,111508.0,111234.0,111158.0,110944.0,110732.0,110602.0,110236.0,110084.0,111524.0,113376.0,112875.0,113278.0,113270.0,112920.0,113111.0,113615.0,113508.0,113651.0,113528.0,113192.0,114653.0,116412.0,116040.0,116743.0,116845.0,116675.0,116783.0,116873.0,116605.0,116759.0,116423.0,116191.0,117949.0,119809.0,118510.0,119654.0,119855.0,119621.0,119387.0,119651.0,119597.0,119888.0,119530.0,119449.0,120378.0,122797.0,123614.0,124507.0,124914.0,124961.0,125118.0,125380.0,126286.0,127610.0,128776.0,128695.0,128134.0,128608.0,129972.0,130785.0,131459.0,131621.0,131825.0,131740.0,132113.0,132029.0,131831.0,131817.0,132445.0,134362.0,135341.0,135821.0,136297.0,136147.0,136248.0,136235.0,136597.0,136331.0,136393.0,136217.0,136268.0,138403.0,139683.0,140947.0,141536.0,141579.0,141938.0,142248.0,142657.0,142661.0,142902.0,142805.0,142930.0,145968.0,147622.0,148454.0,148875.0,148994.0,149629.0,149992.0,150215.0,150532.0,150608.0,150399.0,150753.0,154676.0,156368.0,157247.0,157574.0,327.0,0.002079530929047931,8699.0,0.058431570109151974
5,,Consultant,36932.0,37061.0,37283.0,37310.0,37485.0,37634.0,37836.0,37847.0,37866.0,38011.0,38015.0,38286.0,38507.0,38618.0,38760.0,38721.0,38870.0,38988.0,39135.0,39177.0,39242.0,39266.0,39335.0,39580.0,39758.0,39905.0,39987.0,40005.0,40204.0,40315.0,40353.0,40403.0,40427.0,40419.0,40528.0,40763.0,40997.0,41173.0,41275.0,41296.0,41419.0,41578.0,41682.0,41390.0,41359.0,41378.0,41421.0,41765.0,42125.0,42150.0,42295.0,42339.0,42527.0,42748.0,42863.0,42786.0,42886.0,42930.0,42893.0,43177.0,43602.0,43745.0,43901.0,43918.0,44125.0,44289.0,44500.0,44557.0,44570.0,44629.0,44638.0,44971.0,45349.0,45498.0,45673.0,45655.0,45860.0,46058.0,46159.0,46166.0,46236.0,46265.0,46205.0,46564.0,46955.0,47137.0,47312.0,47255.0,47507.0,47678.0,47816.0,47873.0,47955.0,47984.0,48047.0,48238.0,48607.0,48816.0,48930.0,48947.0,49134.0,49360.0,49494.0,49591.0,49548.0,49558.0,49597.0,49836.0,50275.0,50524.0,50692.0,50655.0,50837.0,50957.0,51043.0,51164.0,51200.0,51254.0,51271.0,51549.0,52053.0,52248.0,52469.0,52483.0,52701.0,52858.0,53232.0,53477.0,53546.0,53598.0,53631.0,53869.0,54218.0,54351.0,54555.0,54551.0,54764.0,54955.0,55191.0,55180.0,55243.0,55309.0,55254.0,55595.0,55946.0,56081.0,56326.0,56260.0,56479.0,56663.0,56877.0,56753.0,56926.0,56948.0,56932.0,57260.0,57747.0,58051.0,58279.0,58332.0,58600.0,58780.0,58957.0,59019.0,59185.0,59199.0,59296.0,59522.0,60040.0,60406.0,60643.0,60706.0,60916.0,61138.0,61287.0,61461.0,61594.0,61667.0,61765.0,62059.0,62607.0,62865.0,63109.0,244.0,0.003881333015191283,2466.0,0.040664215160859454
6,,Associate Specialist,3770.0,3758.0,3729.0,3752.0,3717.0,3697.0,3707.0,3725.0,3742.0,3759.0,3756.0,3773.0,3758.0,3769.0,3785.0,3785.0,3777.0,3784.0,3790.0,3756.0,3753.0,3732.0,3742.0,3727.0,3730.0,3710.0,3705.0,3697.0,3682.0,3649.0,3638.0,3599.0,3556.0,3543.0,3548.0,3519.0,3479.0,3464.0,3450.0,3439.0,3412.0,3400.0,3384.0,3346.0,3305.0,3290.0,3264.0,3244.0,3218.0,3193.0,3171.0,3157.0,3136.0,3109.0,3112.0,3074.0,3045.0,3028.0,2995.0,2977.0,2967.0,2953.0,2940.0,2923.0,2897.0,2884.0,2859.0,2836.0,2816.0,2799.0,2771.0,2753.0,2727.0,2708.0,2695.0,2675.0,2657.0,2639.0,2621.0,2577.0,2564.0,2556.0,2539.0,2507.0,2483.0,2460.0,2447.0,2449.0,2428.0,2419.0,2415.0,2401.0,2397.0,2381.0,2363.0,2351.0,2337.0,2321.0,2312.0,2296.0,2286.0,2280.0,2264.0,2247.0,2237.0,2230.0,2228.0,2216.0,2215.0,2214.0,2207.0,2202.0,2138.0,2148.0,2148.0,2168.0,2169.0,2129.0,2125.0,2127.0,2137.0,2144.0,2139.0,2134.0,2133.0,2142.0,2167.0,2134.0,2142.0,2141.0,2137.0,2128.0,2126.0,2132.0,2136.0,2142.0,2139.0,2142.0,2151.0,2148.0,2135.0,2130.0,2123.0,2124.0,2154.0,2159.0,2179.0,2185.0,2193.0,2219.0,2232.0,2211.0,2240.0,2251.0,2266.0,2276.0,2299.0,2328.0,2368.0,2360.0,2389.0,2411.0,2436.0,2446.0,2480.0,2511.0,2536.0,2572.0,2592.0,2638.0,2660.0,2688.0,2738.0,2760.0,2784.0,2815.0,2846.0,2857.0,2865.0,2896.0,2932.0,2943.0,2976.0,33.0,0.011213047910295617,316.0,0.11879699248120301
7,,Specialty Doctor,3974.0,4088.0,4235.0,4270.0,4366.0,4421.0,4465.0,4607.0,4705.0,4793.0,4813.0,4991.0,5053.0,5119.0,5249.0,5320.0,5430.0,5471.0,5530.0,5603.0,5675.0,5729.0,5741.0,5811.0,5866.0,5949.0,5984.0,5966.0,6053.0,6079.0,6107.0,6164.0,6152.0,6156.0,6132.0,6276.0,6301.0,6394.0,6431.0,6435.0,6463.0,6493.0,6519.0,6579.0,6592.0,6619.0,6579.0,6544.0,6578.0,6668.0,6702.0,6740.0,6790.0,6823.0,6848.0,6877.0,6865.0,6890.0,6860.0,6903.0,6985.0,7031.0,7069.0,7083.0,7101.0,7088.0,7158.0,7161.0,7166.0,7165.0,7138.0,7134.0,7156.0,7168.0,7196.0,7219.0,7216.0,7245.0,7280.0,7300.0,7286.0,7288.0,7273.0,7305.0,7337.0,7359.0,7441.0,7430.0,7453.0,7524.0,7550.0,7577.0,7589.0,7596.0,7619.0,7601.0,7637.0,7707.0,7753.0,7747.0,7833.0,7860.0,7833.0,7878.0,7885.0,7893.0,7900.0,7904.0,7933.0,8021.0,8083.0,8089.0,8101.0,8167.0,8203.0,8262.0,8267.0,8309.0,8308.0,8303.0,8395.0,8476.0,8542.0,8572.0,8613.0,8648.0,8701.0,8648.0,8589.0,8585.0,8587.0,8559.0,8648.0,8744.0,8853.0,8874.0,8919.0,8931.0,8959.0,8962.0,9012.0,9032.0,8992.0,8970.0,9045.0,9074.0,9139.0,9167.0,9197.0,9189.0,9222.0,9239.0,9275.0,9276.0,9216.0,9188.0,9259.0,9316.0,9444.0,9475.0,9531.0,9644.0,9693.0,9711.0,9799.0,9802.0,9781.0,9761.0,9808.0,9853.0,9935.0,10015.0,10039.0,10016.0,10055.0,10103.0,10172.0,10198.0,10187.0,10205.0,10342.0,10445.0,10506.0,61.0,0.005840114887505984,571.0,0.05747357825868143
8,,Staff Grade,2440.0,2356.0,2286.0,2234.0,2176.0,2130.0,2075.0,1940.0,1811.0,1717.0,1627.0,1512.0,1421.0,1327.0,1267.0,1201.0,1155.0,1091.0,1049.0,1007.0,966.0,938.0,910.0,880.0,854.0,817.0,800.0,787.0,752.0,717.0,700.0,676.0,659.0,651.0,643.0,626.0,616.0,612.0,591.0,593.0,584.0,571.0,565.0,561.0,540.0,524.0,513.0,503.0,502.0,488.0,486.0,480.0,480.0,471.0,467.0,460.0,453.0,455.0,456.0,449.0,449.0,446.0,446.0,429.0,427.0,416.0,411.0,399.0,393.0,389.0,376.0,371.0,478.0,479.0,485.0,478.0,471.0,468.0,466.0,466.0,464.0,451.0,451.0,453.0,455.0,454.0,452.0,447.0,451.0,458.0,461.0,459.0,449.0,451.0,445.0,449.0,432.0,428.0,424.0,422.0,413.0,407.0,394.0,389.0,385.0,375.0,373.0,363.0,375.0,369.0,361.0,320.0,315.0,313.0,313.0,307.0,309.0,346.0,353.0,370.0,370.0,371.0,366.0,368.0,368.0,365.0,366.0,350.0,344.0,341.0,340.0,346.0,344.0,339.0,346.0,341.0,336.0,326.0,331.0,334.0,334.0,344.0,347.0,352.0,358.0,360.0,362.0,358.0,371.0,373.0,372.0,364.0,362.0,355.0,349.0,366.0,360.0,371.0,375.0,373.0,372.0,370.0,374.0,384.0,389.0,397.0,389.0,380.0,373.0,378.0,371.0,382.0,372.0,374.0,376.0,374.0,380.0,377.0,371.0,382.0,381.0,381.0,389.0,8.0,0.02099737532808399,18.0,0.04851752021563342
9,,Specialty Registrar,30128.0,30113.0,29911.0,29779.0,29511.0,29545.0,29332.0,28278.0,28743.0,28476.0,28167.0,29962.0,29763.0,29679.0,29672.0,29331.0,29311.0,29281.0,29063.0,28804.0,28591.0,28435.0,28036.0,30127.0,29857.0,29996.0,29725.0,29638.0,29584.0,29730.0,29438.0,29295.0,29039.0,28879.0,28656.0,30519.0,29981.0,30077.0,29949.0,29776.0,29721.0,29845.0,29568.0,29313.0,28976.0,28689.0,28520.0,30995.0,30581.0,30910.0,30703.0,30572.0,30538.0,30443.0,30201.0,29831.0,29530.0,29345.0,29025.0,31634.0,31237.0,31224.0,30978.0,30879.0,30718.0,30666.0,30434.0,30339.0,30131.0,29901.0,29650.0,31435.0,30569.0,30659.0,30523.0,30279.0,30095.0,29966.0,29753.0,29667.0,29426.0,29302.0,28889.0,31546.0,30999.0,31194.0,30948.0,30700.0,30659.0,31185.0,31048.0,31190.0,31069.0,30714.0,30402.0,32393.0,31714.0,31811.0,31566.0,31410.0,31245.0,31186.0,30837.0,30769.0,30538.0,30348.0,30021.0,32530.0,31666.0,32143.0,31954.0,31646.0,31271.0,31418.0,31162.0,31140.0,30856.0,30722.0,30394.0,32620.0,32545.0,33009.0,32964.0,32872.0,32692.0,32643.0,32687.0,32556.0,32294.0,32123.0,31677.0,33837.0,34241.0,34558.0,34483.0,34435.0,34342.0,34263.0,34223.0,34240.0,33966.0,33909.0,33393.0,34951.0,35142.0,35204.0,35091.0,34815.0,34648.0,34492.0,34403.0,34198.0,34012.0,33799.0,33307.0,34777.0,35300.0,35630.0,35544.0,35299.0,35158.0,35054.0,35030.0,34869.0,34737.0,34551.0,34121.0,35560.0,36182.0,36202.0,36043.0,35795.0,36017.0,36126.0,36033.0,35841.0,35635.0,35459.0,35092.0,37073.0,37685.0,37789.0,37560.0,-229.0,-0.006059964539945487,1517.0,0.042088616374885555
